qwe46,10,Erro semântico: símbolo h não declarado na linha 5. ,42
qwe47,10,Erro semântico: símbolo h não declarado na linha 5. ,42
qwe48,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe49,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe50,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe51,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe52,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe53,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe54,10,Erro semântico: símbolo h não declarado na linha 5. ,42
qwe55,10,Erro semântico: símbolo h não declarado na linha 5. ,42
qwe56,10,Erro semântico: símbolo h não declarado na linha 5. ,42
qwe57,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe58,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe59,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe60,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe61,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe62,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe63,10,Erro semântico: símbolo h não declarado na linha 6. ,42
qwe64,10,Erro semântico: símbolo h não declarado na linha 6. ,42
